silence	100	0	50	200	0	0	0	0	0	500	60	0	0	1500	90	2500	150	3250	200	3700	200	4990	500	500	90	500	90	2150	180	2150	180	0	0	0	0	0	0	250	300	320	360	1500	0	60	60	60	60	0	0	0	0	0	
i	1000	60	50	200	0	0	0	0	0	310	45	0	0	2020	200	2960	400	3250	200	3700	200	4990	500	500	90	500	90	2150	180	2150	180	0	0	0	0	0	0	250	300	320	360	1500	0	60	60	60	60	0	0	0	0	0	
I	1000	60	50	200	0	0	0	0	0	400	50	0	0	1800	100	2570	140	3250	200	3700	200	4990	500	500	90	500	90	2150	180	2150	180	0	0	0	0	0	0	250	300	320	360	1500	0	60	60	60	60	0	0	0	0	0	
E	1000	60	50	200	0	0	0	0	0	530	60	0	0	1680	90	2500	200	3250	200	3700	200	4990	500	500	90	500	90	2150	180	2150	180	0	0	0	0	0	0	250	300	320	360	1500	0	60	60	60	60	0	0	0	0	0	
e	1000	60	50	200	0	0	0	0	0	480	70	0	0	1720	100	2520	200	3250	200	3700	200	4990	500	500	90	500	90	2150	180	2150	180	0	0	0	0	0	0	250	300	320	360	1500	0	60	60	60	60	0	0	0	0	0	
Q	1000	60	50	200	0	0	0	0	0	620	70	0	0	1660	150	2430	320	3250	200	3700	200	4990	500	500	90	500	90	2150	180	2150	180	0	0	0	0	0	0	250	300	320	360	1500	0	60	60	60	60	0	0	0	0	0	
a	1000	60	50	200	0	0	0	0	0	660	100	0	0	1200	70	2550	110	3250	200	3700	200	4990	500	500	90	500	90	2150	180	2150	180	0	0	0	0	0	0	250	300	320	360	1500	0	60	60	60	60	0	0	0	0	0	
√	1000	60	50	200	0	0	0	0	0	620	80	0	0	1220	50	2550	140	3250	200	3700	200	4990	500	500	90	500	90	2150	180	2150	180	0	0	0	0	0	0	250	300	320	360	1500	0	60	60	60	60	0	0	0	0	0	
´	1000	60	50	200	0	0	0	0	0	620	80	0	0	1220	50	2550	140	3250	200	3700	200	4990	500	500	90	500	90	2150	180	2150	180	0	0	0	0	0	0	250	300	320	360	1500	0	60	60	60	60	0	0	0	0	0	
A	1000	60	50	200	0	0	0	0	0	700	130	0	0	1220	70	2600	160	3250	200	3700	200	4990	500	500	90	500	90	2150	180	2150	180	0	0	0	0	0	0	250	300	320	360	1500	0	60	60	60	60	0	0	0	0	0	
